input_length,config,runs,mean_acc,std_acc
81,INT 4-2-2-2,5,97.67760000000001,0.8606014176144517
61,INT 4-2-2-2,5,97.6618,0.6689788486940371
51,INT 4-8-2-4,5,97.65740000000001,0.24704108969966493
81,INT 4-2-4-2,5,97.6318,0.7993120166743395
51,INT 4-8-2-8,5,97.62379999999999,0.3275312198859846
51,INT 4-4-2-4,5,97.61359999999999,0.46022472771462525
61,INT 4-2-8-8,5,97.6082,0.6855885792514348
71,INT 4-2-8-2,5,97.6036,0.7369381249467254
71,INT 4-2-4-8,5,97.603,0.8024225819354777
51,INT 4-4-8-8,5,97.5906,0.353556643269504
71,INT 4-2-4-2,5,97.5876,0.7837112350859857
51,INT 4-4-4-4,5,97.5802,0.35235521849406876
51,INT 4-4-8-2,5,97.5784,0.3920233411418223
51,INT 4-4-2-8,5,97.578,0.43743399502096336
71,INT 4-2-2-2,5,97.572,0.7532565963866458
51,INT 4-4-2-2,5,97.5682,0.46595568458813946
51,INT 4-8-4-4,5,97.55760000000001,0.3296737781504626
51,INT 4-8-8-8,5,97.55760000000001,0.33371439885027093
51,INT 8-2-8-8,5,97.5572,0.47731300003247645
51,INT 4-8-2-2,5,97.55499999999999,0.3123163460339539
51,INT 4-4-8-4,5,97.5524,0.39690653811697774
51,INT 4-4-4-8,5,97.55160000000001,0.4133246907698563
71,INT 4-2-4-4,5,97.5496,0.802718692942926
51,INT 8-2-2-4,5,97.54220000000001,0.4879356514951551
51,INT 4-8-4-2,5,97.541,0.2442570367461294
71,INT 4-2-8-4,5,97.5384,0.7987423239067784
51,INT 8-2-2-8,5,97.5336,0.45865161070250804
61,INT 4-2-2-4,5,97.52279999999999,0.7270221454673813
51,INT 8-2-4-4,5,97.5208,0.5372287222403589
51,INT 4-8-8-2,5,97.5146,0.27347266773847895
61,INT 4-2-8-4,5,97.5086,0.6135391593044409
51,INT 8-2-4-8,5,97.50840000000001,0.5575587861382898
51,INT 4-4-4-2,5,97.4988,0.49963356572592577
71,INT 4-2-2-8,5,97.492,0.6004743957905266
51,INT 8-2-4-2,5,97.4904,0.44104172138246217
51,INT 8-2-2-2,5,97.485,0.3796399610156999
71,INT 4-2-8-8,5,97.47279999999999,0.9236821422978807
51,INT 8-2-8-4,5,97.471,0.5537955398881417
51,INT 4-8-8-4,5,97.44980000000001,0.3479190997918922
51,INT 8-2-8-2,5,97.43039999999999,0.5262207711597862
51,INT 4-8-4-8,5,97.423,0.44040719794299393
61,INT 4-2-2-8,5,97.3942,0.7153151053906219
41,INT 4-8-2-2,5,97.37,0.7987390061841263
41,INT 4-4-2-2,5,97.3398,0.8145254446608712
61,INT 4-2-4-2,5,97.3344,0.7632721008919455
71,INT 4-2-2-4,5,97.3178,0.7300878029387983
