input_length,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,seed,label_detected,test_accuracy,train_seconds,status
101,INT 8-2-2-2,8,2,2,2,42,mixed,98.281,87.97455978393555,success
101,INT 8-2-2-2,8,2,2,2,43,mixed,98.907,87.87895774841309,success
101,INT 8-2-2-2,8,2,2,2,44,mixed,99.383,88.0728850364685,success
101,INT 8-2-2-2,8,2,2,2,45,mixed,99.289,88.00040817260742,success
101,INT 8-2-2-2,8,2,2,2,46,mixed,98.849,88.59963631629944,success
101,INT 4-8-8-8,4,8,8,8,42,mixed,98.452,87.77291297912598,success
101,INT 4-8-8-8,4,8,8,8,43,mixed,98.689,88.47169756889343,success
101,INT 4-8-8-8,4,8,8,8,44,mixed,99.207,87.77680850028992,success
101,INT 4-8-8-8,4,8,8,8,45,mixed,98.75,87.99190139770508,success
101,INT 4-8-8-8,4,8,8,8,46,mixed,98.831,88.05523538589478,success
101,INT 4-8-8-4,4,8,8,4,42,mixed,98.469,92.01618242263794,success
101,INT 4-8-8-4,4,8,8,4,43,mixed,98.7,87.86963820457458,success
101,INT 4-8-8-4,4,8,8,4,44,mixed,99.216,87.77631425857544,success
101,INT 4-8-8-4,4,8,8,4,45,mixed,98.755,88.03260493278503,success
101,INT 4-8-8-4,4,8,8,4,46,mixed,98.835,91.75687503814697,success
101,INT 4-8-8-2,4,8,8,2,42,mixed,98.473,88.08868098258972,success
101,INT 4-8-8-2,4,8,8,2,43,mixed,98.673,88.31304383277893,success
101,INT 4-8-8-2,4,8,8,2,44,mixed,99.244,88.00719046592712,success
101,INT 4-8-8-2,4,8,8,2,45,mixed,98.715,88.36388945579529,success
101,INT 4-8-8-2,4,8,8,2,46,mixed,98.826,87.74820160865784,success
101,INT 4-8-4-8,4,8,4,8,42,mixed,98.436,88.26280641555786,success
101,INT 4-8-4-8,4,8,4,8,43,mixed,98.68,88.29559540748596,success
101,INT 4-8-4-8,4,8,4,8,44,mixed,99.197,88.21643996238708,success
101,INT 4-8-4-8,4,8,4,8,45,mixed,98.751,88.02681708335876,success
101,INT 4-8-4-8,4,8,4,8,46,mixed,98.872,88.21954536437988,success
101,INT 4-8-4-4,4,8,4,4,42,mixed,98.45,88.60591697692871,success
101,INT 4-8-4-4,4,8,4,4,43,mixed,98.678,87.5838463306427,success
101,INT 4-8-4-4,4,8,4,4,44,mixed,99.191,88.28641986846924,success
101,INT 4-8-4-4,4,8,4,4,45,mixed,98.751,87.64338517189026,success
101,INT 4-8-4-4,4,8,4,4,46,mixed,98.835,88.30365037918091,success
101,INT 4-8-4-2,4,8,4,2,42,mixed,98.457,88.18276596069336,success
101,INT 4-8-4-2,4,8,4,2,43,mixed,98.683,87.82575368881226,success
101,INT 4-8-4-2,4,8,4,2,44,mixed,99.088,88.01638674736023,success
101,INT 4-8-4-2,4,8,4,2,45,mixed,98.719,88.40160918235779,success
101,INT 4-8-4-2,4,8,4,2,46,mixed,98.857,87.85738229751587,success
101,INT 4-8-2-8,4,8,2,8,42,mixed,98.457,88.07673811912537,success
101,INT 4-8-2-8,4,8,2,8,43,mixed,98.648,88.12609791755676,success
101,INT 4-8-2-8,4,8,2,8,44,mixed,99.374,88.71188974380493,success
101,INT 4-8-2-8,4,8,2,8,45,mixed,98.709,87.71761918067932,success
101,INT 4-8-2-8,4,8,2,8,46,mixed,98.907,88.16913437843323,success
101,INT 4-8-2-4,4,8,2,4,42,mixed,98.497,88.16639232635498,success
101,INT 4-8-2-4,4,8,2,4,43,mixed,98.637,88.0376329421997,success
101,INT 4-8-2-4,4,8,2,4,44,mixed,99.375,88.08133101463318,success
101,INT 4-8-2-4,4,8,2,4,45,mixed,98.659,88.69706130027771,success
101,INT 4-8-2-4,4,8,2,4,46,mixed,98.918,88.1885085105896,success
101,INT 4-8-2-2,4,8,2,2,42,mixed,98.669,87.53069114685059,success
101,INT 4-8-2-2,4,8,2,2,43,mixed,98.642,88.05968594551086,success
101,INT 4-8-2-2,4,8,2,2,44,mixed,99.399,88.53604650497437,success
101,INT 4-8-2-2,4,8,2,2,45,mixed,98.68,88.00147318840027,success
101,INT 4-8-2-2,4,8,2,2,46,mixed,98.89,87.7795741558075,success
101,INT 4-4-8-8,4,4,8,8,42,mixed,98.309,87.94957756996155,success
101,INT 4-4-8-8,4,4,8,8,43,mixed,98.615,88.34537506103516,success
101,INT 4-4-8-8,4,4,8,8,44,mixed,99.219,87.78223419189453,success
101,INT 4-4-8-8,4,4,8,8,45,mixed,98.737,91.76876044273376,success
101,INT 4-4-8-8,4,4,8,8,46,mixed,98.808,88.16310358047485,success
101,INT 4-4-8-4,4,4,8,4,42,mixed,98.514,88.50593161582947,success
101,INT 4-4-8-4,4,4,8,4,43,mixed,98.63,87.80882430076599,success
101,INT 4-4-8-4,4,4,8,4,44,mixed,99.222,88.24892544746399,success
101,INT 4-4-8-4,4,4,8,4,45,mixed,98.883,87.99104380607605,success
101,INT 4-4-8-4,4,4,8,4,46,mixed,98.814,88.11236023902893,success
101,INT 4-4-8-2,4,4,8,2,42,mixed,98.546,88.03274178504944,success
101,INT 4-4-8-2,4,4,8,2,43,mixed,98.628,88.12129497528076,success
101,INT 4-4-8-2,4,4,8,2,44,mixed,99.374,88.20239615440369,success
101,INT 4-4-8-2,4,4,8,2,45,mixed,98.747,88.12074637413025,success
101,INT 4-4-8-2,4,4,8,2,46,mixed,98.791,87.96804809570312,success
101,INT 4-4-4-8,4,4,4,8,42,mixed,98.299,88.35684108734131,success
101,INT 4-4-4-8,4,4,4,8,43,mixed,98.631,88.2416787147522,success
101,INT 4-4-4-8,4,4,4,8,44,mixed,99.224,88.15455532073975,success
101,INT 4-4-4-8,4,4,4,8,45,mixed,98.755,88.40063524246216,success
101,INT 4-4-4-8,4,4,4,8,46,mixed,98.785,87.4451584815979,success
101,INT 4-4-4-4,4,4,4,4,42,INT4,98.586,88.47043228149414,success
101,INT 4-4-4-4,4,4,4,4,43,INT4,98.644,88.26441693305969,success
101,INT 4-4-4-4,4,4,4,4,44,INT4,99.232,87.54279828071594,success
101,INT 4-4-4-4,4,4,4,4,45,INT4,98.905,88.0233223438263,success
101,INT 4-4-4-4,4,4,4,4,46,INT4,98.821,88.49616360664368,success
101,INT 4-4-4-2,4,4,4,2,42,mixed,98.638,87.66740989685059,success
101,INT 4-4-4-2,4,4,4,2,43,mixed,98.631,88.02124285697937,success
101,INT 4-4-4-2,4,4,4,2,44,mixed,99.39,88.09873557090759,success
101,INT 4-4-4-2,4,4,4,2,45,mixed,98.755,88.11272668838501,success
101,INT 4-4-4-2,4,4,4,2,46,mixed,98.813,87.81360340118408,success
101,INT 4-4-2-8,4,4,2,8,42,mixed,98.349,88.09380865097046,success
101,INT 4-4-2-8,4,4,2,8,43,mixed,98.573,88.12741088867188,success
101,INT 4-4-2-8,4,4,2,8,44,mixed,99.256,87.9905788898468,success
101,INT 4-4-2-8,4,4,2,8,45,mixed,98.765,88.15554881095886,success
101,INT 4-4-2-8,4,4,2,8,46,mixed,98.957,88.15323686599731,success
101,INT 4-4-2-4,4,4,2,4,42,mixed,98.392,88.40231490135193,success
101,INT 4-4-2-4,4,4,2,4,43,mixed,98.576,87.75223183631897,success
101,INT 4-4-2-4,4,4,2,4,44,mixed,99.317,88.24761366844177,success
101,INT 4-4-2-4,4,4,2,4,45,mixed,98.731,88.39540457725525,success
101,INT 4-4-2-4,4,4,2,4,46,mixed,98.929,88.11904907226562,success
101,INT 4-4-2-2,4,4,2,2,42,mixed,98.673,88.10957312583923,success
101,INT 4-4-2-2,4,4,2,2,43,mixed,98.582,88.14123702049255,success
101,INT 4-4-2-2,4,4,2,2,44,mixed,99.441,88.25869655609131,success
101,INT 4-4-2-2,4,4,2,2,45,mixed,98.682,88.25642704963684,success
101,INT 4-4-2-2,4,4,2,2,46,mixed,98.88,88.1094617843628,success
101,INT 4-2-8-8,4,2,8,8,42,mixed,98.188,90.1769585609436,success
101,INT 4-2-8-8,4,2,8,8,43,mixed,98.393,89.59960460662842,success
101,INT 4-2-8-8,4,2,8,8,44,mixed,99.372,87.96890902519226,success
101,INT 4-2-8-8,4,2,8,8,45,mixed,98.22,88.3918731212616,success
101,INT 4-2-8-8,4,2,8,8,46,mixed,98.78,91.35205245018005,success
101,INT 4-2-8-4,4,2,8,4,42,mixed,98.22,88.26690435409546,success
101,INT 4-2-8-4,4,2,8,4,43,mixed,98.345,88.32877230644226,success
101,INT 4-2-8-4,4,2,8,4,44,mixed,99.116,87.37785387039185,success
101,INT 4-2-8-4,4,2,8,4,45,mixed,98.196,88.12302327156067,success
101,INT 4-2-8-4,4,2,8,4,46,mixed,98.616,88.34731674194336,success
101,INT 4-2-8-2,4,2,8,2,42,mixed,98.187,88.08774185180664,success
101,INT 4-2-8-2,4,2,8,2,43,mixed,98.263,87.27369856834412,success
101,INT 4-2-8-2,4,2,8,2,44,mixed,99.389,88.03166222572327,success
101,INT 4-2-8-2,4,2,8,2,45,mixed,98.102,88.51204872131348,success
101,INT 4-2-8-2,4,2,8,2,46,mixed,98.584,87.97435998916626,success
101,INT 4-2-4-8,4,2,4,8,42,mixed,98.232,87.8738181591034,success
101,INT 4-2-4-8,4,2,4,8,43,mixed,98.457,87.5358247756958,success
101,INT 4-2-4-8,4,2,4,8,44,mixed,99.358,88.41701221466064,success
101,INT 4-2-4-8,4,2,4,8,45,mixed,98.235,87.55121421813965,success
101,INT 4-2-4-8,4,2,4,8,46,mixed,98.791,88.05243062973022,success
101,INT 4-2-4-4,4,2,4,4,42,mixed,98.213,88.22363710403442,success
101,INT 4-2-4-4,4,2,4,4,43,mixed,98.39,88.22213459014893,success
101,INT 4-2-4-4,4,2,4,4,44,mixed,99.424,88.10764694213867,success
101,INT 4-2-4-4,4,2,4,4,45,mixed,98.233,88.37676453590393,success
