input_length,size_MiB_total,size_MB_total,size_KiB_total,size_KB_total,config,runs,mean_acc,std_acc
81,0.077825,0.081605,79.692,81.605,INT 4-2-4-2,5,97.6318,0.7993
81,0.039773,0.041705,40.728,41.705,INT 4-2-2-8,5,97.6946,0.8295
81,0.039392,0.041305,40.337,41.305,INT 4-2-2-4,5,97.8898,0.447
81,0.039201,0.041105,40.142,41.105,INT 4-2-2-2,5,97.6776,0.8606
81,0.155845,0.163415,159.585,163.415,INT 2-8-8-8,5,95.0594,1.3526
81,0.155463,0.163015,159.194,163.015,INT 2-8-8-4,5,95.0082,1.3427
81,0.155272,0.162815,158.999,162.815,INT 2-8-8-2,5,94.8012,1.3885
81,0.078597,0.082415,80.483,82.415,INT 2-8-4-8,5,95.0518,1.3701
81,0.078216,0.082015,80.093,82.015,INT 2-8-4-4,5,95.0358,1.3474
81,0.078025,0.081815,79.897,81.815,INT 2-8-4-2,5,94.8804,1.3637
81,0.039973,0.041915,40.933,41.915,INT 2-8-2-8,5,95.1496,1.1739
81,0.039592,0.041515,40.542,41.515,INT 2-8-2-4,5,95.1214,1.2238
81,0.039401,0.041315,40.347,41.315,INT 2-8-2-2,5,94.9912,1.303
81,0.155702,0.163265,159.438,163.265,INT 2-4-8-8,5,94.8776,1.6102
81,0.15532,0.162865,159.048,162.865,INT 2-4-8-4,5,94.8868,1.6821
81,0.155129,0.162665,158.853,162.665,INT 2-4-8-2,5,94.8584,1.5889
81,0.078454,0.082265,80.337,82.265,INT 2-4-4-8,5,94.9388,1.6488
81,0.078073,0.081865,79.946,81.865,INT 2-4-4-4,5,94.9316,1.6294
81,0.077882,0.081665,79.751,81.665,INT 2-4-4-2,5,94.7448,1.5589
81,0.03983,0.041765,40.786,41.765,INT 2-4-2-8,5,94.847,1.5331
81,0.039449,0.041365,40.396,41.365,INT 2-4-2-4,5,94.851,1.5518
81,0.039258,0.041165,40.2,41.165,INT 2-4-2-2,5,94.6754,1.6772
81,0.15563,0.16319,159.365,163.19,INT 2-2-8-8,5,93.927,1.9549
81,0.155249,0.16279,158.975,162.79,INT 2-2-8-4,5,93.8894,1.5979
81,0.155058,0.16259,158.779,162.59,INT 2-2-8-2,5,93.6254,1.9086
81,0.078382,0.08219,80.264,82.19,INT 2-2-4-8,5,93.8298,1.6978
81,0.078001,0.08179,79.873,81.79,INT 2-2-4-4,5,94.0442,1.6424
81,0.07781,0.08159,79.678,81.59,INT 2-2-4-2,5,93.565,1.9627
81,0.039759,0.04169,40.713,41.69,INT 2-2-2-8,5,93.6416,1.524
81,0.039377,0.04129,40.322,41.29,INT 2-2-2-4,5,93.7764,1.8143
81,0.039186,0.04109,40.127,41.09,INT 2-2-2-2,5,93.7156,1.4963
71,0.136814,0.14346,140.098,143.46,INT 8-8-8-8,5,98.6424,0.5317
71,0.136433,0.14306,139.707,143.06,INT 8-8-8-4,5,98.6542,0.4828
71,0.136242,0.14286,139.512,142.86,INT 8-8-8-2,5,98.6228,0.473
71,0.069103,0.07246,70.762,72.46,INT 8-8-4-8,5,98.6884,0.5095
71,0.068722,0.07206,70.371,72.06,INT 8-8-4-4,5,98.6528,0.4835
71,0.068531,0.07186,70.176,71.86,INT 8-8-4-2,5,98.6316,0.4823
71,0.035248,0.03696,36.094,36.96,INT 8-8-2-8,5,98.695,0.4953
71,0.034866,0.03656,35.703,36.56,INT 8-8-2-4,5,98.6514,0.483
71,0.034676,0.03636,35.508,36.36,INT 8-8-2-2,5,98.659,0.4802
71,0.136671,0.14331,139.951,143.31,INT 8-4-8-8,5,98.4884,0.6061
71,0.13629,0.14291,139.561,142.91,INT 8-4-8-4,5,98.6252,0.5126
71,0.136099,0.14271,139.365,142.71,INT 8-4-8-2,5,98.4672,0.5334
71,0.06896,0.07231,70.615,72.31,INT 8-4-4-8,5,98.5158,0.585
71,0.068579,0.07191,70.225,71.91,INT 8-4-4-4,5,98.4842,0.5882
71,0.068388,0.07171,70.029,71.71,INT 8-4-4-2,5,98.48,0.543
71,0.035105,0.03681,35.947,36.81,INT 8-4-2-8,5,98.5638,0.4949
71,0.034723,0.03641,35.557,36.41,INT 8-4-2-4,5,98.4268,0.5665
71,0.034533,0.03621,35.361,36.21,INT 8-4-2-2,5,98.6036,0.5091
71,0.1366,0.143235,139.878,143.235,INT 8-2-8-8,5,98.3048,0.4331
71,0.136218,0.142835,139.487,142.835,INT 8-2-8-4,5,98.2918,0.4273
71,0.136027,0.142635,139.292,142.635,INT 8-2-8-2,5,98.1884,0.3842
71,0.068889,0.072235,70.542,72.235,INT 8-2-4-8,5,98.3472,0.4304
71,0.068507,0.071835,70.151,71.835,INT 8-2-4-4,5,98.2618,0.5028
71,0.068316,0.071635,69.956,71.635,INT 8-2-4-2,5,98.267,0.374
71,0.035033,0.036735,35.874,36.735,INT 8-2-2-8,5,98.2228,0.4287
71,0.034652,0.036335,35.483,36.335,INT 8-2-2-4,5,98.2108,0.4374
71,0.034461,0.036135,35.288,36.135,INT 8-2-2-2,5,98.1284,0.4386
71,0.136786,0.14343,140.068,143.43,INT 4-8-8-8,5,98.047,0.558
71,0.136404,0.14303,139.678,143.03,INT 4-8-8-4,5,98.0242,0.5333
71,0.136213,0.14283,139.482,142.83,INT 4-8-8-2,5,98.0212,0.5686
71,0.069075,0.07243,70.732,72.43,INT 4-8-4-8,5,98.0434,0.5551
71,0.068693,0.07203,70.342,72.03,INT 4-8-4-4,5,98.0594,0.5764
71,0.068502,0.07183,70.146,71.83,INT 4-8-4-2,5,97.9992,0.5743
71,0.035219,0.03693,36.064,36.93,INT 4-8-2-8,5,98.0794,0.582
71,0.034838,0.03653,35.674,36.53,INT 4-8-2-4,5,98.0842,0.5722
71,0.034647,0.03633,35.479,36.33,INT 4-8-2-2,5,98.0608,0.5821
71,0.136642,0.14328,139.922,143.28,INT 4-4-8-8,5,97.961,0.53
71,0.136261,0.14288,139.531,142.88,INT 4-4-8-4,5,98.018,0.5988
