ace_rank,alpha,config,mean_acc,std_acc,size_kb,ace,omega,hawq_rank,hawq_compression_ratio
68,61,INT 4-4-2-8,97.773,0.6894,31.78,-0.014385080645161358,0.0061919852159917355,12,3.423841059602649
69,81,INT 4-2-2-8,97.6946,0.8295,41.705,-0.015175403225806539,0.012684249319136143,6,3.8542315028611585
70,81,INT 4-2-2-2,97.6776,0.8606,41.105,-0.015346774193548433,0.01286906749010086,4,3.901229549842496
71,61,INT 4-2-2-2,97.6618,0.669,31.105,-0.015506048387096807,0.02246599644422531,4,3.901361002560302
72,71,INT 4-2-2-2,97.572,0.7533,36.105,-0.016411290322580645,0.059122469276189804,2,3.9012860618700036
73,51,INT 4-4-2-2,97.5682,0.466,26.18,-0.016449596774193533,0.004977642558515072,4,3.4736238532110093
74,61,INT 4-2-2-4,97.5228,0.727,31.305,-0.01690725806451612,0.02142808772623539,5,3.880444980565608
75,51,INT 8-2-2-2,97.485,0.3796,26.135,-0.017288306451612938,0.0164230577647686,3,3.718275280036827
76,61,INT 4-2-2-8,97.3942,0.7153,31.705,-0.018203629032258115,0.02139115147292614,6,3.8392786102638907
77,41,INT 4-4-2-2,97.3398,0.8145,21.18,-0.01875201612903232,0.004810440354049206,10,3.4743589743589745
78,41,INT 8-8-4-4,97.3076,1.0281,42.06,-0.0190766129032259,5.878072988707572e-05,18,1.7371794871794872
79,41,INT 8-8-2-8,97.3058,1.1196,21.96,-0.019094758064516108,0.0002504403528291732,17,2.7054908485856903
80,41,INT 8-8-2-4,97.2878,1.1345,21.56,-0.01927620967741934,0.00027804914861917496,16,2.7358384744812114
81,41,INT 8-8-4-8,97.275,1.0972,42.46,-0.019405241935483843,3.117192682111636e-05,19,1.724893917963225
82,41,INT 8-8-8-8,97.2554,1.1357,83.46,-0.019602822580645246,1.8791677575791255e-05,20,1.0
83,41,INT 8-4-2-8,97.2142,1.2549,21.81,-0.020018145161290298,0.0009045391343533993,15,3.2617853560682044
84,41,INT 8-4-2-2,97.209,1.1585,21.21,-0.020070564516129027,0.0016233259811997414,13,3.328556806550665
85,51,INT 4-2-2-2,97.2024,0.4637,26.105,-0.020137096774193605,0.020643016323447227,2,3.901465142489132
86,41,INT 4-4-2-8,97.1642,1.043,21.78,-0.02052217741935493,0.004091653507202864,12,3.401673640167364
87,41,INT 4-4-2-4,97.1588,1.0755,21.38,-0.020576612903225842,0.004119262099266052,11,3.44978783592645
88,41,INT 8-4-2-4,97.1024,1.151,21.41,-0.021145161290322578,0.0009321479592472315,14,3.3059979667909185
89,41,INT 8-2-2-8,97.0002,1.2185,21.735,-0.02217540322580641,0.016160277649760246,9,3.635550586920067
90,41,INT 8-2-2-2,96.8438,1.2919,21.135,-0.02375201612903227,0.016879064962267876,7,3.718696397941681
91,41,INT 8-2-2-4,96.8306,1.1449,21.335,-0.023885080645161278,0.016187887638807297,8,3.6905617552487233
92,41,INT 4-2-2-8,96.648,1.1201,21.705,-0.02572580645161297,0.01934739202260971,6,3.8101933216168717
93,41,INT 4-2-2-2,96.6264,1.0287,21.105,-0.025943548387096765,0.02006617933511734,4,3.901619676064787
94,41,INT 4-2-2-4,96.489,1.1385,21.305,-0.02732862903225805,0.01937500201165676,5,3.8706605832176155
95,31,INT 8-8-8-4,96.395,1.6802,63.06,-0.028276209677419423,7.639349496457726e-05,20,1.005437737901033
96,31,INT 8-4-2-2,96.3578,1.7822,16.21,-0.02865120967741941,0.005400161258876324,12,3.330031517334534
97,31,INT 8-8-4-4,96.35,1.6328,32.06,-0.028729838709677505,0.00012951828830409795,18,1.737781954887218
98,31,INT 8-8-2-8,96.346,1.665,16.96,-0.02877016129032257,0.0010275549720972776,17,2.6933721777130373
99,31,INT 8-8-8-8,96.3372,1.6564,63.46,-0.028858870967742006,2.820192094077356e-05,21,1.0
100,31,INT 8-8-2-4,96.328,1.6335,16.56,-0.028951612903225805,0.001075746607966721,16,2.7331855136733187
101,31,INT 8-8-4-8,96.3198,1.6671,32.46,-0.02903427419354841,8.132671064231545e-05,19,1.7216014897579144
102,31,INT 8-4-2-8,96.2984,1.7796,16.81,-0.02925000000000002,0.003955279476940632,14,3.2424375274002633
103,31,INT 8-8-2-2,96.2784,1.5657,16.36,-0.029451612903225784,0.002472436521202326,15,2.753536857781087
104,31,INT 8-4-2-4,96.2776,1.929,16.41,-0.029459677419354798,0.00400347076356411,13,3.3003123605533244
105,31,INT 4-4-2-4,95.6908,1.7739,16.38,-0.035375000000000066,0.0098170917481184,10,3.4432029795158288
106,31,INT 4-4-2-2,95.6786,1.8452,16.18,-0.03549798387096774,0.01121378131210804,9,3.475563909774436
107,31,INT 4-4-2-8,95.5762,1.7747,16.78,-0.0365302419354839,0.009768899530172348,11,3.380255941499086
108,31,INT 8-2-2-8,95.1886,3.1152,16.735,-0.04043750000000009,0.07403407245874405,8,3.6104466682938736
