input_length,alpha,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,hawq_rank,omega,hawq_compression_ratio,hawq_bit_complexity,hawq_source
5,5,INT 8-4-2-4,8,4,2,4,7,0.5480644702911377,3.189873417721519,31600.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-4-2-8,8,4,2,8,8,0.5454532504081726,2.896551724137931,34800.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-8-2-2,8,8,2,2,9,0.5255200266838074,2.8,36000.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-8-2-4,8,8,2,4,10,0.46111631393432617,2.6808510638297873,37600.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-8-2-8,8,8,2,8,11,0.45850512385368347,2.4705882352941178,40800.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 4-4-4-2,4,4,4,2,12,0.3940540552139282,2.0655737704918034,48800.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-4-4-2,8,4,4,2,13,0.175422802567482,2.016,50000.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-4-4-4,8,4,4,4,14,0.1110190823674202,1.9534883720930232,51600.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-4-4-8,8,4,4,8,15,0.1084078699350357,1.8394160583941606,54800.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-8-4-2,8,8,4,2,16,0.08847469836473465,1.8,56000.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-8-4-4,8,8,4,4,17,0.024070965126156807,1.75,57600.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-8-4-8,8,8,4,8,18,0.021459752693772316,1.6578947368421053,60800.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-8-8-4,8,8,8,4,19,0.0036478820256888866,1.0327868852459017,97600.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-8-8-8,8,8,8,8,20,0.001036669360473752,1.0,100800.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
